,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
40,Assam,"District Goalpara (03), Assam (18)",822035,420251,401784,23.07,384670,220277,164393,384670,92621,67036,60309,10964,273925
41,Assam,"District Bongaigaon (04), Assam (18)",904835,465240,439595,12.23,439861,258761,181100,439861,106878,81738,84500,16694,293243
42,Assam,"District Barpeta (05), Assam (18)",1647201,848578,798623,18.53,752682,448021,304661,752682,162333,132818,164157,33386,517088
43,Assam,"District Kamrup (06), Assam (18)",2522324,1326981,1195343,25.75,1608191,930256,677935,1608191,312309,275453,466555,169680,842253
44,Assam,"District Nalbari (07), Assam (18)",1148824,592375,556449,11.98,657925,387002,270923,657925,138882,121336,174317,30251,383932
45,Assam,"District Darrang (08), Assam (18)",1504320,773861,730459,15.79,684998,407632,277366,684998,155853,127004,139276,23154,527993
46,Assam,"District Marigaon (09), Assam (18)",776256,398926,377330,21.29,367292,210586,156706,367292,89100,67786,69749,11307,262824
47,Assam,"District Nagaon (10), Assam (18)",2314629,1190950,1123679,22.3,1165617,665697,499920,1165617,288125,212668,226919,45957,727641
48,Assam,"District Sonitpur (11), Assam (18)",1681513,871568,809945,17.8,830579,494965,335614,830579,204000,144886,172379,36083,634723
49,Assam,"District Lakhimpur (12), Assam (18)",889010,455691,433319,18.34,506433,292261,214172,506433,101435,103794,135467,21888,497745
50,Assam,"District Dhemaji (13), Assam (18)",571944,294643,277301,18.93,304606,181645,122961,304606,62969,57868,85106,10527,250146
51,Assam,"District Tinsukia (14), Assam (18)",1150062,601099,548963,19.52,588302,355444,232858,588302,143102,109758,129043,24927,466351
52,Assam,"District Dibrugarh (15), Assam (18)",1185072,613555,571517,12.43,698148,406265,291883,698148,148411,130235,193998,41634,472419
53,Assam,"District Sibsagar (16), Assam (18)",1051736,545476,506260,15.95,672158,382936,289222,672158,131634,145992,198390,31707,430523
54,Assam,"District Jorhat (17), Assam (18)",999221,517015,482206,15.84,660591,375400,285191,660591,126171,123591,201640,41283,414348
55,Assam,"District Golaghat (18), Assam (18)",946279,490286,455993,14.21,557360,322048,235312,557360,124707,116314,123363,21774,388640
56,Assam,"District Karbi Anglong (19), Assam (18)",813311,422250,391061,22.57,382574,232652,149922,382574,97842,71385,63345,9112,330480
57,Assam,"District North Cachar Hills (20), Assam (18)",188079,99822,88257,23.47,106354,63610,42744,106354,26167,20031,25701,4126,70199
58,Assam,"District Cachar (21), Assam (18)",1444921,743042,701879,18.66,824437,474145,350292,824437,210291,152273,149889,34464,465734
59,Assam,"District Karimganj (22), Assam (18)",1007976,517680,490296,21.35,550119,319205,230914,550119,145859,89941,81460,17096,303294
60,Assam,"District Hailakandi (23), Assam (18)",542872,280513,262359,20.92,263547,155674,107873,263547,70326,54660,36681,8151,179881
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
61,Bihar,"District Pashchim Champaran (01), Bihar (10)",3043466,1600839,1442627,30.4,932347,648173,284174,932347,276791,120739,151304,39728,1154038
62,Bihar,"District Purba Champaran (02), Bihar (10)",3939773,2077047,1862726,29.27,1164670,810950,353720,1164670,335027,160904,220305,55742,1286843
63,Bihar,"District Sheohar * (03), Bihar (10)",515961,273680,242281,36.16,144444,98775,45669,144444,41449,18325,26264,6366,161218
64,Bihar,"District Sitamarhi (04), Bihar (10)",2682720,1417611,1265109,32.58,817711,556936,260775,817711,241271,106199,149796,42252,855156
65,Bihar,"District Madhubani (05), Bihar (10)",3575281,1840997,1734284,26.08,1195776,832849,362927,1195776,337265,166293,241046,80377,1227723
66,Bihar,"District Supaul * (06), Bihar (10)",1732578,902207,830371,29.95,509025,372961,136064,509025,142665,68442,90900,28675,728222
67,Bihar,"District Araria (07), Bihar (10)",2158608,1128105,1030503,31.84,589679,411189,178490,589679,169716,72976,90784,26900,853445
68,Bihar,"District Kishanganj (08), Bihar (10)",1296348,669552,626796,31.5,313488,222795,90693,313488,89804,35723,38799,13632,417151
69,Bihar,"District Purnia (09), Bihar (10)",2543942,1328417,1215525,35.23,700070,478689,221381,700070,188455,89717,121468,60584,960700
70,Bihar,"District Katihar (10), Bihar (10)",2392638,1246872,1145766,30.91,655119,443862,211257,655119,184659,98997,112380,39452,898326
71,Bihar,"District Madhepura (11), Bihar (10)",1526646,797180,729466,29.45,431480,305330,126150,431480,116785,56748,91201,31536,683976
72,Bihar,"District Saharsa (12), Bihar (10)",1508182,789432,718750,33.03,465577,322163,143414,465577,121342,63340,103110,37268,589467
73,Bihar,"District Darbhanga (13), Bihar (10)",3295789,1722189,1573600,30.85,1167572,780652,386920,1167572,325340,150907,232248,82655,1028558
74,Bihar,"District Muzaffarpur (14), Bihar (10)",3746714,1951466,1795248,26.74,1440954,925975,514979,1440954,375833,184370,271130,138923,1139830
75,Bihar,"District Gopalganj (15), Bihar (10)",2152638,1075710,1076928,26.11,816173,538255,277918,816173,226128,128485,158427,28515,641672
76,Bihar,"District Siwan (16), Bihar (10)",2714349,1336283,1378066,24.78,1118027,707675,410352,1118027,306275,180106,209847,67645,730437
77,Bihar,"District Saran (17), Bihar (10)",3248701,1652661,1596040,26.37,1347610,888812,458798,1347610,360628,220404,317047,62137,860940
78,Bihar,"District Vaishali (18), Bihar (10)",2718421,1415603,1302818,26.39,1098151,717734,380417,1098151,290962,160999,260462,53254,782717
79,Bihar,"District Samastipur (19), Bihar (10)",3394793,1760692,1634101,25.63,1211152,802593,408559,1211152,318259,161391,218608,69956,1071974
80,Bihar,"District Begusarai (20), Bihar (10)",2349366,1228874,1120492,29.11,896444,580459,315985,896444,238430,115437,201143,56953,746075
81,Bihar,"District Khagaria (21), Bihar (10)",1280354,679267,601087,29.32,414174,277226,136948,414174,111887,55070,95168,21286,467240
82,Bihar,"District Bhagalpur (22), Bihar (10)",2423172,1291658,1131514,27.24,965683,622679,343004,965683,243090,142439,243765,78697,855345
83,Bihar,"District Banka * (23), Bihar (10)",1608773,843293,765480,24.47,547326,373997,173329,547326,161536,83442,118870,24495,636665
84,Bihar,"District Munger (24), Bihar (10)",1137797,607730,530067,20.34,554332,349630,204702,554332,134681,82675,166331,40304,331451
85,Bihar,"District Lakhisarai * (25), Bihar (10)",802225,417672,384553,23.94,303536,200968,102568,303536,85703,37350,83075,15832,292634
86,Bihar,"District Sheikhpura * (26), Bihar (10)",525502,273992,251510,24.96,202035,134917,67118,202035,55787,23763,57234,11645,194396
87,Bihar,"District Nalanda (27), Bihar (10)",2370528,1238599,1131929,18.64,1015473,665076,350397,1015473,257416,133793,269470,105051,903144
88,Bihar,"District Patna (28), Bihar (10)",4718592,2519942,2198650,30.17,2453501,1535672,917829,2453501,541973,307964,504159,348464,1425647
89,Bihar,"District Bhojpur (29), Bihar (10)",2243144,1179611,1063533,24.58,1073010,714185,358825,1073010,294520,191702,251870,67823,653811
90,Bihar,"District Buxar * (30), Bihar (10)",1402396,738354,664042,29.03,642167,429414,212753,642167,169511,111320,151446,38342,408186
91,Bihar,"District Kaimur (Bhabua) * (31), Bihar (10)",1289074,677623,611451,30.64,561854,375196,186658,561854,153131,97772,103874,28174,442887
92,Bihar,"District Rohtas (32), Bihar (10)",2450748,1283485,1167263,27.71,1205287,779613,425674,1205287,313981,204073,303289,78327,744183
93,Bihar,District Jehanabad,1514315,784946,729369,28.64,674115,442411,231704,674115,165901,94041,195509,40964,580905
94,Bihar,"District Aurangabad (34), Bihar (10)",2013055,1040945,972110,30.19,920766,594522,326244,920766,246053,133900,226566,48108,671011
95,Bihar,"District Gaya (35), Bihar (10)",3473428,1792163,1681265,30.19,1405453,913020,492433,1405453,373287,183747,315430,86752,1277639
96,Bihar,"District Nawada (36), Bihar (10)",1809696,929960,879736,33.08,679135,453300,225835,679135,193068,85800,165701,35707,674377
97,Bihar,"District Jamui * (37), Bihar (10)",1398796,729138,669658,32.9,476261,335723,140538,476261,146100,60873,93148,16894,596617
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
98,CG,"District Koriya * (01), Chhattisgarh (22)",586327,301251,285076,16.91,306668,189459,117209,306668,85487,42217,41975,14373,279826
99,CG,"District Surguja (02), Chhattisgarh (22)",1972094,1000050,972044,24.58,873459,547006,326453,873459,220260,115576,101299,33241,982041
100,CG,"District Jashpur * (03), Chhattisgarh (22)",743160,371697,371463,12.71,395548,232587,162961,395548,103656,62225,50922,13790,397898
101,CG,"District Raigarh (04), Chhattisgarh (22)",1265529,634597,630932,18.68,746495,439954,306541,746495,204985,99568,86502,30355,601564
102,CG,"District Korba * (05), Chhattisgarh (22)",1011823,515147,496676,22.55,518372,324912,193460,518372,137964,79124,93719,33634,431002
103,CG,"District Janjgir - Champa* (06), Chhattisgarh (22)",1317431,659388,658043,18.55,720507,445925,274582,720507,185071,110150,119079,28440,575923
104,CG,"District Bilaspur (07), Chhattisgarh (22)",1998355,1013875,984480,17.59,1048167,656225,391942,1048167,269030,145629,168750,73884,857577
105,CG,"District Kawardha * (08), Chhattisgarh (22)",584552,291963,292589,13.86,261036,167179,93857,261036,68700,27349,19935,6752,291648
106,CG,"District Rajnandgaon (09), Chhattisgarh (22)",1283224,634342,648882,17.7,823076,457505,365571,823076,223080,116435,91107,31552,649401
107,CG,"District Durg (10), Chhattisgarh (22)",2810436,1417893,1392543,16.88,1793890,1032829,761061,1793890,466403,265099,338969,116771,1162833
108,CG,"District Raipur (11), Chhattisgarh (22)",3016930,1523925,1493005,18.97,1713653,1034063,679590,1713653,462342,234779,268987,121842,1264663
109,CG,"District Mahasamund * (12), Chhattisgarh (22)",860257,426201,434056,8.72,484836,289545,195291,484836,142893,65748,55893,17560,411747
110,CG,"District Dhamtari * (13), Chhattisgarh (22)",706591,352524,354067,19.72,441921,253963,187958,441921,130136,63651,51119,15880,354230
111,CG,"District Kanker * (14), Chhattisgarh (22)",650934,324636,326298,18.84,396797,223779,173018,396797,88486,49589,41617,11125,351859
112,CG,"District Bastar (15), Chhattisgarh (22)",1306673,649801,656872,18.28,471780,300838,170942,471780,110533,61122,56155,19533,687415
113,CG,"District Dantewada* (16), Chhattisgarh (22)",719487,356928,362559,15.56,176944,115626,61318,176944,37694,21178,26720,7989,380244
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
114,Chandigarh,"District Chandigarh (01), Chandigarh (04)",900635,506938,393697,40.33,643245,382686,260559,643245,115349,90111,204402,138441,340422
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
115,D_D,"District Diu (01), Daman & Diu (25)",44215,20878,23337,11.71,26167,14366,11801,26167,8095,4390,5978,819,13862
116,D_D,"District Daman (02), Daman & Diu (25)",113989,71634,42355,83.49,81433,56626,24807,81433,19113,16274,25517,5390,58929
