,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
190,Jharkhand,"District Giridih (06), Jharkhand (20)",1904430,960679,943751,27.09,667385,469399,197986,667385,196026,90613,98939,24811,644644
191,Jharkhand,"District Deoghar (07), Jharkhand (20)",1165390,608878,556512,24.46,469652,327557,142095,469652,132877,67813,80065,26206,432714
192,Jharkhand,"District Godda (08), Jharkhand (20)",1047939,544043,503896,21.61,363825,253504,110321,363825,101841,53607,72291,17374,421941
193,Jharkhand,"District Sahibganj (09), Jharkhand (20)",927770,477662,450108,25.89,275829,181716,94113,275829,72112,42219,46385,13814,388045
194,Jharkhand,"District Pakaur * (10), Jharkhand (20)",701664,358545,343119,24.34,170931,114765,56166,170931,48036,24863,24190,6634,309575
195,Jharkhand,"District Dumka (11), Jharkhand (20)",1759602,897364,862238,17.31,690834,462781,228053,690834,209924,105943,99816,22993,778378
196,Jharkhand,"District Dhanbad (12), Jharkhand (20)",2397102,1278946,1118156,22.82,1348584,860583,488001,1348584,325848,246471,329778,102522,664058
197,Jharkhand,"District Bokaro * (13), Jharkhand (20)",1777662,938436,839226,22.11,923150,600048,323102,923150,214614,159357,247536,82686,509310
198,Jharkhand,"District Ranchi (14), Jharkhand (20)",2785064,1436976,1348088,25.72,1500541,920164,580377,1500541,354556,249307,357487,160004,1076904
199,Jharkhand,"District Lohardaga (15), Jharkhand (20)",364521,184507,180014,26.14,156710,99218,57492,156710,42447,28107,27698,8227,153373
200,Jharkhand,"District Gumla (16), Jharkhand (20)",1346767,675769,670998,16.6,568234,349223,219011,568234,159144,109189,108270,26466,658921
201,Jharkhand,"District Pashchimi Singhbhum (17), Jharkhand (20)",2082795,1054641,1028154,16.35,857301,567204,290097,857301,233474,156525,193556,49399,917757
202,Jharkhand,"District Purbi Singhbhum (18), Jharkhand (20)",1982988,1027433,955555,22.66,1169213,700242,468971,1169213,263554,189301,333179,136165,692664
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
203,JK,"District Kupwara (01), Jammu & Kashmir (01)",650393,341303,309090,38.59,232557,160215,72342,232557,49065,53021,57176,9893,212501
204,JK,"District Baramula (02), Jammu & Kashmir (01)",1169780,614816,554964,31.18,447075,297267,149808,447075,97012,96009,106243,25681,371521
205,JK,"District Srinagar (03), Jammu & Kashmir (01)",1202447,649491,552956,31.45,641267,405708,235559,641267,101964,115438,220417,76539,384669
206,JK,"District Badgam (04), Jammu & Kashmir (01)",629309,326050,303259,26.5,226167,148386,77781,226167,49071,43950,52789,12608,225992
207,JK,"District Pulwama (05), Jammu & Kashmir (01)",652607,335544,317063,24.49,281518,178170,103348,281518,57661,53728,75934,17608,212599
208,JK,"District Anantnag (06), Jammu & Kashmir (01)",1172434,610007,562427,32.7,463197,299910,163287,463197,97284,97638,110811,25804,394988
209,JK,"District Leh (Ladakh) (07), Jammu & Kashmir (01)",117232,64306,52926,30.42,68278,43664,24614,68278,15707,13957,18977,3572,58125
210,JK,"District Kargil (08), Jammu & Kashmir (01)",119307,64955,54352,31.39,60803,41832,18971,60803,12883,14497,15065,1635,55645
211,JK,"District Doda (09), Jammu & Kashmir (01)",691929,363526,328403,26.76,274425,193834,80591,274425,62058,63344,62773,9365,318280
212,JK,"District Udhampur (10), Jammu & Kashmir (01)",743509,399686,343823,26.95,343429,225888,117541,343429,90460,77607,76342,14762,366430
213,JK,"District Punch (11), Jammu & Kashmir (01)",372613,194213,178400,28.08,156398,104051,52347,156398,38931,40392,31434,6832,201100
214,JK,"District Rajauri (12), Jammu & Kashmir (01)",483284,257336,225948,25.19,234228,150444,83784,234228,60684,66255,47476,8237,218212
215,JK,"District Jammu (13), Jammu & Kashmir (01)",1588772,850302,738470,28.39,1070574,625605,444969,1070574,220259,261039,312206,104813,528331
216,JK,"District Kathua (14), Jammu & Kashmir (01)",550084,289391,260693,20.91,307370,185654,121716,307370,78668,77174,74150,14199,205422
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
217,Karnataka,"District Belgaum (01), Karnataka (29)",4214505,2150090,2064415,17.4,2305279,1381748,923531,2305279,681713,233698,555114,126507,1877774
218,Karnataka,"District Bagalkot * (02), Karnataka (29)",1651892,834247,817645,18.84,794785,494544,300241,794785,230572,73843,175891,43406,719659
219,Karnataka,"District Bijapur (03), Karnataka (29)",1806918,926424,880494,17.63,866561,543869,322692,866561,240833,81050,193305,56251,718213
220,Karnataka,"District Gulbarga (04), Karnataka (29)",3130922,1592789,1538133,21.02,1297445,812860,484585,1297445,345382,123657,310638,78138,1350072
221,Karnataka,"District Bidar (05), Karnataka (29)",1502373,771022,731351,19.56,768358,468571,299787,768358,223243,76573,196756,46559,557603
222,Karnataka,"District Raichur (06), Karnataka (29)",1669762,841840,827922,21.93,676799,429277,247522,676799,177843,58192,134598,32550,732762
223,Karnataka,District Koppal,1196089,603312,592777,24.57,534547,339944,194603,534547,140403,45683,93327,20820,554506
224,Karnataka,"District Gadag * (08), Karnataka (29)",971835,493533,478302,13.14,551362,335442,215920,551362,155973,53681,122380,29358,457817
225,Karnataka,"District Dharwad (09), Karnataka (29)",1604253,823204,781049,16.65,992550,574522,418028,992550,270372,93207,262645,86968,684492
226,Karnataka,"District Uttara Kannada (10), Karnataka (29)",1353644,686876,666768,10.9,904024,505270,398754,904024,246858,101631,185288,52839,581278
227,Karnataka,"District Haveri * (11), Karnataka (29)",1439116,740469,698647,13.29,837509,493856,343653,NA,NA,NA,NA,NA,666714
228,Karnataka,"District Bellary (12), Karnataka (29)",2027140,1029714,997426,22.3,980483,599137,381346,980483,275866,108406,199472,58253,920821
229,Karnataka,"District Chitradurga (13), Karnataka (29)",1517896,776221,741675,15.05,849690,503013,346677,849690,239747,108463,211183,45637,721835
230,Karnataka,District Davanagere,1790952,917705,873247,14.78,1045620,606552,439068,1045620,289955,136028,259402,62560,783781
231,Karnataka,"District Shimoga (15), Karnataka (29)",1642545,830559,811986,12.9,1068934,593890,475044,1068934,307761,145435,263089,70661,714671
232,Karnataka,"District Udupi * (16), Karnataka (29)",1112243,522231,590012,6.88,810584,409135,401449,NA,NA,NA,NA,NA,488173
233,Karnataka,"District Chikmagalur (17), Karnataka (29)",1140905,574911,565994,11.98,723610,404743,318867,723610,217446,104208,175305,38887,516677
234,Karnataka,"District Tumkur (18), Karnataka (29)",2584711,1313801,1270910,11.87,1525485,887341,638144,1525485,442987,246919,376384,79317,1316939
235,Karnataka,"District Kolar (19), Karnataka (29)",2536069,1286193,1249876,13.83,1382267,815459,566808,1382267,404772,223831,332698,65652,1235028
236,Karnataka,"District Bangalore (20), Karnataka (29)",6537124,3426599,3110525,34.8,4782565,2663055,2119510,4782565,993052,591695,1735275,736744,2566914
237,Karnataka,"District Bangalore Rural (21), Karnataka (29)",1881514,962183,919331,12.21,1071327,625966,445361,NA,NA,NA,NA,NA,892531
238,Karnataka,"District Mandya (22), Karnataka (29)",1763705,888034,875671,7.14,951460,551271,400189,951460,286608,170984,230259,46091,840419
239,Karnataka,"District Hassan (23), Karnataka (29)",1721669,859086,862583,9.66,1044584,593329,451255,1044584,313894,187201,239412,52127,864711
240,Karnataka,"District Dakshina Kannada (24), Karnataka (29)",1897730,938434,959296,14.51,1391738,736962,654776,1391738,483612,157540,310789,93990,946390
241,Karnataka,"District Kodagu (25), Karnataka (29)",548561,274831,273730,11.64,373541,200588,172953,373541,109557,61766,90068,24723,266378
242,Karnataka,"District Mysore (26), Karnataka (29)",2641027,1344670,1296357,15.04,1471155,836195,634960,1471155,419378,217783,373399,131222,1110264
243,Karnataka,"District Chamarajanagar * (27), Karnataka (29)",965462,489940,475522,9.16,432700,254672,178028,432700,133704,65811,88966,19034,448369
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
244,Kerala,"District Kasaragod (01), Kerala (32)",1204078,588083,615995,12.3,883860,458085,425775,883860,256203,186515,189868,30391,417845
245,Kerala,"District Kannur (02), Kerala (32)",2408956,1152817,1256139,7.13,1971403,971065,1000338,1971403,544405,441878,521715,91604,767197
246,Kerala,"District Wayanad (03), Kerala (32)",780619,391273,389346,17.04,576735,303579,273156,576735,154742,134323,122652,19920,308613
247,Kerala,"District Kozhikode (04), Kerala (32)",2879131,1399358,1479773,9.87,2335442,1174611,1160831,2335442,601267,598508,556008,108192,802900
248,Kerala,"District Malappuram (05), Kerala (32)",3625471,1754576,1870895,17.22,2754509,1373688,1380821,2754509,775445,747341,451421,63246,874476
249,Kerala,"District Palakkad (06), Kerala (32)",2617482,1266985,1350497,9.86,1938818,988859,949959,1938818,519629,510415,403353,73476,945052
250,Kerala,"District Thrissur (07), Kerala (32)",2974232,1422052,1552180,8.7,2437592,1191026,1246566,2437592,546008,503278,719444,151519,955300
251,Kerala,"District Ernakulam (08), Kerala (32)",3105798,1538397,1567401,9.09,2578813,1307846,1270967,2578813,528694,503631,820372,225105,1117091
252,Kerala,"District Idukki (09), Kerala (32)",1129221,566682,562539,6.96,882458,460310,422148,882458,217996,203095,234505,39708,487352
253,Kerala,"District Kottayam (10), Kerala (32)",1953646,964926,988720,6.76,1668266,833748,834518,1668266,345448,355148,540662,128708,642157
254,Kerala,"District Alappuzha (11), Kerala (32)",2109160,1014529,1094631,5.21,1758978,865286,893692,1758978,378825,425623,513397,99917,723354
255,Kerala,"District Pathanamthitta (12), Kerala (32)",1234016,589398,644618,3.72,1049876,505976,543900,1049876,209013,251917,336720,64974,366049
256,Kerala,"District Kollam (13), Kerala (32)",2585208,1249621,1335587,7.33,2090444,1039111,1051333,2090444,449780,539180,593072,123596,828566
257,Kerala,"District Thiruvananthapuram (14), Kerala (32)",3234356,1569917,1664439,9.78,2558494,1280412,1278082,2558494,527786,634060,732255,222693,1047935
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
258,Lakshdweep,"District Lakshadweep (01), Lakshadweep (31)",60650,31131,29519,17.19,44683,24511,20172,44683,12994,9162,6718,959,15354
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
259,Maharashtra,"District Nandurbar * (01), Maharashtra (27)",1311709,663511,648198,23.21,603221,361333,241888,603221,147995,68675,131899,28499,610033
260,Maharashtra,"District Dhule (02), Maharashtra (27)",1707947,878372,829575,16.01,1040837,606036,434801,1040837,272659,130236,256675,60362,737941
261,Maharashtra,"District Jalgaon (03), Maharashtra (27)",3682690,1905493,1777197,15.44,2381376,1396860,984516,2381376,650949,329660,563675,119062,1563983
262,Maharashtra,"District Buldana (04), Maharashtra (27)",2232480,1147403,1085077,18.03,1433889,842410,591479,1433889,381863,203864,275600,56203,1016015
263,Maharashtra,"District Akola (05), Maharashtra (27)",1630239,841253,788986,20.51,1135245,639483,495762,1135245,280039,177990,268309,63735,648243
264,Maharashtra,"District Washim * (06), Maharashtra (27)",1020216,526094,494122,18.25,630763,377978,252785,630763,169377,82710,129753,24256,455332
265,Maharashtra,"District Amravati (07), Maharashtra (27)",2607160,1345614,1261546,18.45,1856549,1032546,824003,1856549,433284,305648,431104,114536,1095622
266,Maharashtra,"District Wardha (08), Maharashtra (27)",1236736,638990,597746,15.3,865556,486736,378820,865556,184139,152341,227660,52169,550351
267,Maharashtra,"District Nagpur (09), Maharashtra (27)",4067637,2105314,1962323,23.25,2976205,1654342,1321863,2976205,593659,555120,780536,292546,1538349
268,Maharashtra,"District Bhandara (10), Maharashtra (27)",1136146,573445,562701,11.2,770662,440122,330540,770662,158182,156083,172183,39684,536885
269,Maharashtra,"District Gondiya * (11), Maharashtra (27)",1200707,598834,601873,10.49,808414,458266,350148,808414,185713,143438,162514,30658,579596
270,Maharashtra,"District Gadchiroli (12), Maharashtra (27)",970294,491101,479193,23.25,490121,296314,193807,490121,120709,80995,89838,16579,497104
271,Maharashtra,"District Chandrapur (13), Maharashtra (27)",2071101,1062993,1008108,17.26,1311008,762137,548871,1311008,306002,241905,301614,70018,930791
272,Maharashtra,"District Yavatmal (14), Maharashtra (27)",2458271,1265681,1192590,18.46,1537777,903639,634138,1537777,383231,232990,303089,69675,1118937
273,Maharashtra,"District Nanded (15), Maharashtra (27)",2876259,1481358,1394901,23.08,1625685,992485,633200,1625685,416146,191069,330094,91908,1202037
274,Maharashtra,"District Hingoli * (16), Maharashtra (27)",987160,505373,481787,19.76,543309,337912,205397,543309,154660,67561,79787,19120,459978
275,Maharashtra,"District Parbhani (17), Maharashtra (27)",1527715,780191,747524,15.31,842536,516714,325822,842536,230416,107401,145218,40808,644752
276,Maharashtra,"District Jalna (18), Maharashtra (27)",1612980,826903,786077,18.17,870399,545730,324669,870399,249322,106869,135386,29151,716900
277,Maharashtra,"District Aurangabad (19), Maharashtra (27)",2897013,1505363,1391650,31.93,1771659,1067801,703858,1771659,455114,233997,424582,130802,1176857
278,Maharashtra,"District Nashik (20), Maharashtra (27)",4993796,2590912,2402884,29.51,3126188,1823366,1302822,3126188,814181,453224,776968,210382,2185573
279,Maharashtra,"District Thane (21), Maharashtra (27)",8131849,4377747,3754102,54.86,5635799,3295251,2340548,5635799,1322471,818886,1691149,595234,3179981
280,Maharashtra,"District Mumbai (Suburban) * (22), Maharashtra (27)",8640419,4741720,3898699,27.2,6617264,3853376,2763888,6617264,1556583,1010677,2041567,868911,3152509
281,Maharashtra,"District Mumbai (23), Maharashtra (27)",3338031,1878246,1459785,4.79,2590613,1535176,1055437,2590613,600035,415610,811413,305520,1311739
282,Maharashtra,"District Raigarh (24), Maharashtra (27)",2207929,1117628,1090301,20.89,1458324,822913,635411,1458324,398377,249510,307692,86468,913995
283,Maharashtra,"District Pune (25), Maharashtra (27)",7232555,3769128,3463427,30.58,5039290,2879761,2159529,5039290,1234236,737247,1431502,551221,2954482
284,Maharashtra,"District Ahmadnagar (26), Maharashtra (27)",4040642,2083053,1957589,21.2,2598597,1517029,1081568,2598597,718363,355240,593593,149809,1857046
285,Maharashtra,"District Bid (27), Maharashtra (27)",2161250,1116356,1044894,18.54,1241434,758028,483406,1241434,323189,151017,259282,70423,957584
286,Maharashtra,"District Latur (28), Maharashtra (27)",2080285,1075257,1005028,23.95,1254534,750455,504079,1254534,326969,180947,292029,70863,840518
287,Maharashtra,"District Osmanabad (29), Maharashtra (27)",1486586,769368,717218,15.35,872022,523930,348092,872022,248126,128486,192685,46238,653522
288,Maharashtra,"District Solapur (30), Maharashtra (27)",3849543,1989623,1859920,19.32,2336825,1384746,952079,2336825,711633,332698,466479,115283,1743041
289,Maharashtra,"District Satara (31), Maharashtra (27)",2808994,1408326,1400668,14.1,1908947,1069029,839918,1908947,548233,290898,479369,114502,1303658
290,Maharashtra,"District Ratnagiri (32), Maharashtra (27)",1696777,794498,902279,9.87,1095833,578330,517503,1095833,367654,164363,178857,40950,763387
291,Maharashtra,"District Sindhudurg (33), Maharashtra (27)",868825,417890,450935,3.55,612919,328199,284720,612919,187388,108179,131412,27638,404985
292,Maharashtra,"District Kolhapur (34), Maharashtra (27)",3523162,1807470,1715692,17.59,2364307,1367021,997286,2364307,646010,333618,634498,168879,1652970
293,Maharashtra,"District Sangli (35), Maharashtra (27)",2583524,1320088,1263436,17.59,1717836,979509,738327,1717836,501154,236743,433642,114255,1218655
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
294,Manipur,"District Tamenglong (02), Manipur (Excl. 3 Sub-Divisions) (14)",111499,58014,53485,29.23,56819,34329,22490,56819,16167,12056,13097,2511,50863
295,Manipur,"District Churachandpur (03), Manipur (Excl. 3 Sub-Divisions) (14)",227905,117232,110673,29.81,139080,78871,60209,139080,36192,27406,28475,6998,99363
296,Manipur,"District Bishnupur (04), Manipur (Excl. 3 Sub-Divisions) (14)",208368,104550,103818,13.9,119823,70507,49316,119823,21085,28539,32825,14474,89703
297,Manipur,"District Thoubal (05), Manipur (Excl. 3 Sub-Divisions) (14)",364140,182250,181890,24.62,202102,122109,79993,202102,40258,51767,51218,18800,177343
298,Manipur,"District Imphal West (06), Manipur (Excl. 3 Sub-Divisions) (14)",444382,221781,222601,15.42,311238,171996,139242,311238,43273,70823,97181,57683,178111
299,Manipur,"District Imphal East * (07), Manipur (Excl. 3 Sub-Divisions) (14)",394876,198371,196505,19.16,255956,145377,110579,255956,44284,63063,73202,33010,156882
300,Manipur,"District Ukhrul (08), Manipur (Excl. 3 Sub-Divisions) (14)",140778,73465,67313,28.98,87549,50208,37341,87549,21575,22113,22673,5995,66515
301,Manipur,"District Chandel (09), Manipur (Excl. 3 Sub-Divisions) (14)",118327,59741,58586,72.8,57460,33147,24313,57460,14523,13039,14308,3327,54545
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
302,Meghalya,"District West Garo Hills (01), Meghalaya (17)",518390,263424,254966,27.98,211499,120837,90662,211499,52624,29859,38497,5385,208361
303,Meghalya,"District East Garo Hills (02), Meghalaya (17)",250582,127474,123108,31.1,120874,67145,53729,120874,32931,17899,13078,1322,111996
304,Meghalya,"District South Garo Hills * (03), Meghalaya (17)",100980,52007,48973,28.59,43816,25340,18476,43816,11948,6384,6059,415,47848
305,Meghalya,"District West Khasi Hills (04), Meghalaya (17)",296049,150419,145630,33.59,147590,76676,70914,147590,32783,14991,12352,2128,129095
306,Meghalya,District Ri Bhoi,192790,99319,93471,51.44,98754,53494,45260,98754,21053,9876,10061,1906,89407
307,Meghalya,"District East Khasi Hills (06), Meghalaya (17)",660923,333553,327370,22.88,415160,212637,202523,415160,84592,59433,88682,37129,256562
308,Meghalya,"District Jaintia Hills (07), Meghalaya (17)",299108,149891,149217,34.12,120182,58143,62039,120182,23696,12145,15666,3357,126877
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
309,Mizoram,"District Mamit * (01), Mizoram (15)",62785,33114,29671,-3.5,40849,22693,18156,40849,11786,6611,3220,857,35165
310,Mizoram,"District Kolasib * (02), Mizoram (15)",65960,34562,31398,36.01,50596,26969,23627,50596,14227,9422,5028,1351,35510
311,Mizoram,"District Aizawl (03), Mizoram (15)",325676,166877,158799,39.24,269699,138783,130916,269699,67374,58941,43311,16154,162961
312,Mizoram,"District Champhai * (04), Mizoram (15)",108392,55756,52636,29.77,82036,43231,38805,82036,23377,11824,7102,2051,68134
313,Mizoram,"District Serchhip * (05), Mizoram (15)",53861,27380,26481,18.45,42582,21906,20676,42582,12300,7393,3588,1124,32523
314,Mizoram,"District Lunglei (06), Mizoram (15)",137223,71402,65821,23.1,96097,52159,43938,96097,25687,16973,11926,3025,71792
315,Mizoram,"District Lawngtlai (07), Mizoram (15)",73620,38776,34844,34.78,38603,22374,16229,38603,8268,5064,4253,831,34093
316,Mizoram,"District Saiha * (08), Mizoram (15)",61056,31242,29814,33.16,40983,21990,18993,40983,11250,6806,5186,1026,26981
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
317,MP,"District Sheopur * (01), Madhya Pradesh (23)",559495,295297,264198,29.72,207536,146457,61079,207536,57015,27245,22433,7261,229277
318,MP,"District Morena (02), Madhya Pradesh (23)",1592714,874089,718625,24.09,837828,568474,269354,837828,224989,157372,137803,35535,590599
319,MP,"District Bhind (03), Madhya Pradesh (23)",1428559,780902,647657,17.06,827663,533921,293742,827663,220817,173169,147085,33425,525370
320,MP,"District Gwalior (04), Madhya Pradesh (23)",1632109,883317,748792,26,955356,599253,356103,955356,225628,165751,208973,117832,530629
321,MP,"District Datia (05), Madhya Pradesh (23)",628240,338232,290008,21.82,373358,236341,137017,373358,106846,59474,44598,15050,316020
322,MP,"District Shivpuri (06), Madhya Pradesh (23)",1441950,776190,665760,27.16,682555,465476,217079,682555,169556,83562,70328,26478,652270
323,MP,"District Guna (07), Madhya Pradesh (23)",1666767,884020,782747,27.11,797993,529858,268135,797993,211195,94899,81240,36016,682988
324,MP,"District Tikamgarh (08), Madhya Pradesh (23)",1202998,637913,565085,27.88,542498,355842,186656,542498,155317,91542,76369,19113,566177
325,MP,"District Chhatarpur (09), Madhya Pradesh (23)",1474723,788933,685790,27.33,631370,416441,214929,631370,187015,96146,82056,31240,592470
326,MP,"District Panna (10), Madhya Pradesh (23)",856558,450549,406009,24.17,420622,265457,155165,420622,105010,59739,48604,13871,373605
327,MP,"District Sagar (11), Madhya Pradesh (23)",2021987,1073205,948782,22.7,1118993,700223,418770,1118993,343146,182697,160798,64817,839763
328,MP,"District Damoh (12), Madhya Pradesh (23)",1083949,570229,513720,20.46,548331,350142,198189,548331,165303,88125,68512,21804,486486
329,MP,"District Satna (13), Madhya Pradesh (23)",1870104,971396,898708,27.52,984833,611158,373675,984833,273238,176370,175804,54531,745244
330,MP,"District Rewa (14), Madhya Pradesh (23)",1973306,1016687,956619,26.84,991410,621967,369443,991410,235155,181747,230974,62859,862959
331,MP,"District Umaria * (15), Madhya Pradesh (23)",515963,265128,250835,22.58,247303,156899,90404,247303,71069,37845,32713,9839,217537
332,MP,"District Shahdol (16), Madhya Pradesh (23)",1575303,804988,770315,18.87,767630,480446,287184,767630,216891,124734,118502,39887,681924
333,MP,"District Sidhi (17), Madhya Pradesh (23)",1831152,947830,883322,33.28,759929,508382,251547,759929,183880,109089,108311,31425,757585
334,MP,"District Neemuch * (18), Madhya Pradesh (23)",726070,372419,353651,21.25,403371,257619,145752,403371,118653,58700,57330,21828,348262
335,MP,"District Mandsaur (19), Madhya Pradesh (23)",1183724,605119,578605,23.67,694046,429667,264379,694046,201202,91746,77417,26142,570329
336,MP,"District Ratlam (20), Madhya Pradesh (23)",1215393,620862,594531,24.97,672715,406791,265924,672715,170031,84966,83957,36427,547852
337,MP,"District Ujjain (21), Madhya Pradesh (23)",1710982,882871,828111,23.63,1014882,613726,401156,1014882,263266,135370,143351,71378,755288
338,MP,"District Shajapur (22), Madhya Pradesh (23)",1290685,669852,620833,24.87,748357,456982,291375,748357,192607,79001,62864,22546,629791
339,MP,"District Dewas (23), Madhya Pradesh (23)",1308223,677866,630357,26.39,656369,422705,233664,656369,184452,102164,98489,30072,580422
340,MP,"District Jhabua (24), Madhya Pradesh (23)",1394561,702053,692508,23.56,396590,259123,137467,396590,83598,41016,42646,17109,732246
341,MP,"District Dhar (25), Madhya Pradesh (23)",1740329,890416,849913,27.29,735243,470857,264386,735243,197874,101520,102712,33387,811415
342,MP,"District Indore (26), Madhya Pradesh (23)",2465827,1289352,1176475,40.82,1575436,926915,648521,1575436,370687,271803,367120,228758,893669
343,MP,"District West Nimar (27), Madhya Pradesh (23)",1529562,784604,744958,27.95,780796,475854,304942,780796,208339,91535,86634,29655,704439
344,MP,"District Barwani * (28), Madhya Pradesh (23)",1081441,548609,532832,29.87,350354,218053,132301,350354,91173,42023,42096,15095,523750
345,MP,"District East Nimar (29), Madhya Pradesh (23)",1713134,884966,828168,19.31,866818,534903,331915,866818,239858,99054,107944,38579,752695
346,MP,"District Rajgarh (30), Madhya Pradesh (23)",1254085,649106,604979,26.24,548640,365919,182721,548640,148503,71331,62187,21871,625494
347,MP,"District Vidisha (31), Madhya Pradesh (23)",1214857,647838,567019,25.18,608083,392534,215549,608083,183353,81228,66431,32781,451787
348,MP,"District Bhopal (32), Madhya Pradesh (23)",1843510,972649,870861,35.91,1159823,673981,485842,1159823,247944,181511,277470,198979,591454
349,MP,"District Sehore (33), Madhya Pradesh (23)",1078912,565137,513775,28.22,550972,354429,196543,550972,162327,84152,65592,22872,451442
350,MP,"District Raisen (34), Madhya Pradesh (23)",1125154,598247,526907,27.8,658705,398632,260073,658705,182033,95054,75988,26154,411721
351,MP,"District Betul (35), Madhya Pradesh (23)",1395175,709956,685219,27.8,770252,453686,316566,770252,207368,107066,114482,36605,615976
352,MP,"District Harda * (36), Madhya Pradesh (23)",474416,247226,227190,24.53,257682,157472,100210,257682,70653,31456,29648,11368,213226
353,MP,"District Hoshangabad (37), Madhya Pradesh (23)",1084265,571774,512491,22.4,635839,388376,247463,635839,170657,99721,110481,47367,387120
354,MP,"District Katni * (38), Madhya Pradesh (23)",1064167,548368,515799,20.61,555204,351232,203972,555204,156659,90917,88799,27570,443695
355,MP,"District Jabalpur (39), Madhya Pradesh (23)",2151203,1127304,1023899,22.59,1396120,818931,577189,1396120,346309,245581,322023,150769,799602
356,MP,"District Narsimhapur (40), Madhya Pradesh (23)",957646,501645,456001,21.88,624793,362954,261839,624793,163508,89801,90348,25469,403463
357,MP,"District Dindori * (41), Madhya Pradesh (23)",580730,291716,289014,13.23,261764,169782,91982,261764,76196,38565,26381,7091,330907
358,MP,"District Mandla (42), Madhya Pradesh (23)",894236,447956,446280,14.66,446998,276499,170499,446998,121692,60369,56676,19150,464397
359,MP,"District Chhindwara (43), Madhya Pradesh (23)",1849283,947337,901946,17.86,1020599,607698,412901,1020599,264193,128871,157362,50077,779533
360,MP,"District Seoni (44), Madhya Pradesh (23)",1166608,588750,577858,16.49,636216,377563,258653,636216,190243,82155,74325,25158,569060
361,MP,"District Balaghat (45), Madhya Pradesh (23)",1497968,740749,757219,5.85,870688,502654,368034,870688,260633,137143,119334,35809,753581
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
362,Nagaland,"District Mon (01), Nagaland (13)",260652,138753,121899,73.42,92726,55404,37322,92726,31478,17350,12159,1310,130848
363,Nagaland,"District Tuensang (02), Nagaland (13)",414818,218678,196140,78.1,180186,103932,76254,180186,54957,37755,37510,3871,184924
364,Nagaland,"District Mokokchung (03), Nagaland (13)",232085,120929,111156,43.48,174982,93833,81149,174982,44197,39682,49330,9493,109260
365,Nagaland,"District Zunheboto (04), Nagaland (13)",153955,79056,74899,61,89139,48707,40432,89139,24222,18748,21949,3936,56783
366,Nagaland,"District Wokha (05), Nagaland (13)",161223,83670,77553,95.01,112198,61979,50219,112198,30603,23216,29080,5988,56254
367,Nagaland,"District Dimapur * (06), Nagaland (13)",309024,166663,142361,73.3,201350,115767,85583,201350,49270,38531,55305,14448,103306
368,Nagaland,"District Kohima (07), Nagaland (13)",310084,162251,147833,49.96,196180,111146,85034,196180,49001,37627,50543,14916,135023
369,Nagaland,"District Phek (08), Nagaland (13)",148195,77141,71054,45.12,85562,49433,36129,85562,26792,16874,16296,3549,71398
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
370,Orrisa,District Bargarh,1346336,681500,664836,11.47,749820,458534,291286,749820,249457,93408,118362,28280,593530
371,Orrisa,District Jharsuguda,509716,261941,247775,15.13,312880,187019,125861,312880,90669,43070,66985,16249,189593
372,Orrisa,"District Sambalpur (03), Orissa (21)",935613,475122,460491,14.17,544861,324711,220150,544861,157269,69036,105367,37291,421346
373,Orrisa,District Debagarh,274108,138408,135700,17.02,139877,85620,54257,139877,46515,17816,25246,6030,126260
374,Orrisa,"District Sundargarh (05), Orissa (21)",1830673,935601,895072,16.26,1015485,603510,411975,1015485,266849,157537,255929,74647,738803
375,Orrisa,"District Kendujhar (06), Orissa (21)",1561990,790036,771954,16.79,780918,479337,301581,780918,216473,129539,153161,43741,621226
376,Orrisa,"District Mayurbhanj (07), Orissa (21)",2223456,1123200,1100256,17.89,964860,616003,348857,964860,257013,167052,189667,53696,1027797
377,Orrisa,"District Baleshwar (08), Orissa (21)",2024508,1036511,987997,19.24,1219495,722244,497251,1219495,365601,177018,235371,76372,645133
378,Orrisa,District Bhadrak,1333749,675642,658107,20.47,842855,487993,354862,842855,264062,124330,161403,46921,385119
379,Orrisa,"District Kendrapara * (10), Orissa (21)",1302005,646438,655567,13.25,865643,484580,381063,865643,253080,139242,180835,43620,388296
380,Orrisa,District Jagatsinghapur,1057629,538881,518748,13.15,737848,419922,317926,737848,210226,107179,193478,42623,329973
381,Orrisa,"District Cuttack (12), Orissa (21)",2341094,1207781,1133313,14,1574742,909527,665215,1574742,428041,251400,354489,134291,794034
382,Orrisa,District Jajapur,1624341,823747,800594,17.08,1004464,582222,422242,1004464,289716,162077,219666,59544,446525
