District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,214783,182777,32006,51897,102257,83931,95073,59555,34990,321018,166781,111028
41,PUNJAB,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1284822,1053600,231222,277247,488129,443759,527568,318876,272280,1901528,980046,614258
42,PUNJAB,Moga,995746,525920,469826,627889,348549,279340,359172,292379,66793,98764,158812,116716,128693,85642,37417,535408,258826,194768
43,PUNJAB,Firozpur,2029074,1071637,957437,1227511,707070,520441,756695,596406,160289,196971,306838,226433,221806,147698,82448,1171770,525459,331259
44,PUNJAB,Muktsar,901896,475622,426274,524848,300401,224447,335326,272699,62627,90240,137470,101852,104682,62612,36905,495167,242628,162297
45,PUNJAB,Faridkot,617508,326671,290837,381285,215767,165518,221555,185049,36506,53734,89433,71178,75419,48360,29838,336540,164962,113721
46,PUNJAB,Bathinda,1388525,743197,645328,844868,488261,356607,549986,432988,116998,117795,182796,145626,163928,96329,70240,754927,377707,255283
47,PUNJAB,Mansa,769751,408732,361019,423560,244037,179523,328512,230739,97773,75708,106162,84553,85953,48663,27461,420050,200882,146103
48,PUNJAB,Patiala,1895686,1002522,893164,1266791,711052,555739,660267,549661,110606,173890,283837,239609,256826,157435,141947,1042519,517079,335100
49,PUNJAB,Amritsar,2490656,1318408,1172248,1684770,932981,751789,917856,735195,182661,197944,313874,283819,328229,203656,142399,1384987,667193,436496
50,PUNJAB,Tarn Taran,1119627,589369,530258,666162,376427,289735,380702,313639,67063,106878,165659,118366,147856,83290,21322,641875,283645,190898
51,PUNJAB,Rupnagar,684627,357485,327142,502731,278534,224197,233676,186910,46766,53005,107715,98135,116836,68794,38823,365300,185424,131707
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,736575,409944,326631,355995,283367,72628,82178,131983,119930,147214,96568,105306,540872,281462,171656
53,PUNJAB,Sangrur,1655169,878029,777140,1002077,570413,431664,568758,485129,83629,163251,250833,197901,220210,130155,73636,904316,435148,311621
54,PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,209331,178163,31168,49367,90971,66695,81545,43467,23657,322607,158413,114077
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
55,CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,404136,328159,75977,80406,118667,114209,124707,98786,174528,602411,303748,148945
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,157276,84265,73011,43442,46625,47640,30901,24989,18882,202426,75997,51245
57,UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,180940,93832,87108,47447,68435,67519,47703,32557,27168,229715,93182,67873
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130,113032,52339,60693,30562,50288,44605,28916,21131,15096,141848,54979,44986
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,280442,140821,139621,72163,103462,95417,74008,58434,30704,368324,139371,109998
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,582768,458834,123934,142130,236027,240639,206730,187700,247622,968517,446046,276280
61,UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,274152,147373,126779,91101,107794,111671,95590,74219,52076,380765,160183,145445
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,216490,113539,102951,63591,87585,90983,56591,42086,28375,273494,116749,92517
63,UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,123638,58708,64930,38113,47788,50340,31224,20785,10900,147488,60569,51672
64,UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,298211,142460,155751,90864,120029,115810,76148,53026,37742,351595,141238,128994
