District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,831209,597888,233321,356093,361114,347114,231129,176303,179996,1534832,543148,367332
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,787398,547406,239992,342667,392873,353570,247028,172872,194387,1499494,515229,367234
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,1242632,869838,372794,460210,637015,526973,306046,188848,176414,2376875,828222,580164
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,1152160,895576,256584,447648,493760,215939,104762,65106,47690,2275746,754346,446242
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613,403755,293981,109774,155698,97160,56242,29567,19744,15648,723443,245098,143979
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,760253,534332,225921,379253,227932,122911,65516,40633,37109,1415213,442339,283947
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,1170552,855848,314704,678171,425584,305644,192664,144067,118176,2223078,734903,464584
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,878898,583633,295265,676987,335977,204260,110056,73465,56516,1690396,504002,359977
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,783688,558642,225046,470355,349221,324085,211477,162961,143642,1574037,519265,363891
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,539469,383482,155987,341757,290532,205875,129442,86528,63506,1108368,352395,250502
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,994253,659465,334788,456350,388464,308064,185236,129222,95863,1694493,595114,370573
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,1351629,1016876,334753,873031,618398,560246,425913,316166,273903,2755630,992114,659677
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,1116973,804857,312116,836856,424892,367405,249265,170911,119625,2236842,772777,500373
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951,876246,639073,237173,602403,473097,449571,372031,277548,194341,1946336,664708,481219
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,1372032,941890,430142,831966,1344726,879745,489060,312571,158303,2930243,965876,699954
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,696747,475413,221334,344570,410737,320743,256784,209493,150462,1402738,467343,323260
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,1019483,723060,296423,436021,515010,443440,409484,323582,200434,1975934,724362,502628
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,1437375,934157,503218,665376,939616,769693,520111,353996,256398,2826453,927026,689979
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,1204602,808700,395902,566504,691057,563310,449909,334003,186306,2234593,774130,556273
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,652543,462971,189572,295979,367768,276638,196240,135962,88299,1222695,437000,287767
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,1220708,921234,299474,467782,608174,557052,447926,351391,281652,2260457,856070,531549
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,470608,343155,127453,257527,291926,232072,167524,120944,86533,1032294,331743,209920
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,881996,613061,268935,361642,421577,340261,232189,177109,140668,1590528,552177,346773
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,730399,463611,266788,306218,297226,212565,120822,82614,63846,1203938,418914,237866
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,545984,440244,105740,238019,214091,201984,178434,119665,88607,1149372,383707,237427
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047,472765,375213,97552,256688,193410,150247,108558,61662,48079,946320,301252,183434
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,1478947,999282,479665,1053481,543965,250243,159563,98732,70669,2544205,888205,497793
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,1737539,1260774,476765,1280809,982506,450631,241118,121594,68781,3316422,1122340,648009
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,216372,166693,49679,128209,91277,37063,25657,16031,10091,421241,139909,93398
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,1114583,865929,248654,733380,394422,196321,136500,92783,70549,2206340,739982,449035
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,1636938,1105947,530991,783888,771417,520875,303114,170563,137780,2860455,1009424,611899
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,877682,551718,325964,467768,269737,157787,99530,69665,45726,1453438,495020,277610
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,1069893,708391,361502,625357,426625,206161,112955,68177,39627,1872943,612012,324091
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,529064,421192,107872,356401,235779,89025,42778,25989,15386,1139615,361114,188447
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,1143318,803275,340043,668690,360243,184327,119259,83226,59996,2155512,696556,372692
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,1013566,760522,253044,472616,444260,237243,133811,88498,57114,2054202,660403,353483
213,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,777546,496046,281500,340813,189431,114474,99437,79891,44955,1311771,444235,242382
214,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,649898,456724,193174,348300,194897,104182,90182,64560,47051,1249692,415863,233870
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,1223640,947927,275713,672797,490534,332382,224622,152540,129597,2535344,865971,529314
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,1547586,1195308,352278,1092952,743623,419433,299475,194920,138916,3016735,1079189,697108
217,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,728201,539586,188615,540603,470828,291624,223776,123249,79109,1642807,546202,370662
218,BIHAR,Siwan,3330464,1675090,1655374,1930175,1115906,814269,932416,730396,202020,689880,612635,445257,355277,186817,119164,2115448,713597,498299
219,BIHAR,Saran,3951862,2022821,1929041,2157454,1285767,871687,1040231,857660,182571,793945,693465,433759,361171,213251,148065,2516115,847031,585386
220,BIHAR,Vaishali,3495021,1844535,1650486,1926740,1152576,774164,1060344,858648,201696,810191,487594,370247,291392,178320,124448,2176701,759132,486032
221,BIHAR,Samastipur,4261566,2230003,2031563,2142880,1293575,849305,1343400,1037576,305824,781038,710468,438908,284082,186153,129933,2766930,913339,568812
222,BIHAR,Begusarai,2970541,1567660,1402881,1548673,918507,630166,938182,715345,222837,577601,484502,291877,207136,144783,101836,1951688,644874,369996
223,BIHAR,Khagaria,1666886,883786,783100,768028,461153,306875,560805,398216,162589,350601,233494,130004,100555,65931,38697,1114645,355531,195796
224,BIHAR,Bhagalpur,3037766,1615663,1422103,1573066,937669,635397,983528,740056,243472,614644,524322,300767,247079,154643,118843,1952879,674660,397654
225,BIHAR,Banka,2034763,1067140,967623,965321,590961,374360,771080,517817,253263,408188,386707,196305,120653,63103,35767,1291235,462080,278863
226,BIHAR,Munger,1367765,729041,638724,801817,473741,328076,426658,327453,99205,226699,158699,146414,147152,101907,64469,860147,316713,188319
227,BIHAR,Lakhisarai,1000912,526345,474567,507270,305182,202088,326576,240494,86082,172076,149312,111684,85807,48001,27261,650642,218840,130655
228,BIHAR,Sheikhpura,636342,329743,306599,328676,196431,132245,224655,151569,73086,129673,110525,59529,52860,33856,19676,413475,136898,85045
229,BIHAR,Nalanda,2877653,1497060,1380593,1519933,919558,600375,1045420,703405,342015,581978,486266,320839,274556,177358,133032,1829128,642197,403129
230,BIHAR,Patna,5838465,3078512,2759953,3459679,2028047,1431632,1881886,1436411,445475,1244842,1095655,920051,698351,463361,452340,3626564,1382654,815638
231,BIHAR,Bhojpur,2728407,1430380,1298027,1599151,973486,625665,822493,640283,182210,581580,605307,367059,313509,163303,131137,1722387,613072,387389
232,BIHAR,Buxar,1706352,887977,818375,989807,593544,396263,538322,402180,136142,331675,420187,256124,178044,89306,64117,1074754,375372,253998
233,BIHAR,Kaimur (Bhabua),1626384,847006,779378,920276,549923,370353,511163,375959,135204,318859,294927,210899,147315,86815,70169,1039302,353413,226808
234,BIHAR,Rohtas,2959918,1543546,1416372,1799832,1061783,738049,924879,707939,216940,535187,548971,399053,333053,194928,161555,1875174,673742,407193
235,BIHAR,Aurangabad,2540073,1318684,1221389,1466002,868733,597269,837770,599157,238613,559512,482199,302662,253142,136783,91371,1626969,564571,340948
236,BIHAR,Gaya,4391418,2266566,2124852,2297613,1368803,928810,1664062,1076170,587892,902272,757690,447480,342254,191824,131163,2810026,936630,537333
237,BIHAR,Nawada,2219146,1144668,1074478,1091012,659474,431538,817041,539439,277602,601011,368649,195072,161127,95943,64585,1440781,485628,288805
238,BIHAR,Jamui,1760405,916064,844341,858588,534385,324203,727571,452288,275283,420472,317612,153973,104211,56137,29633,1135919,392052,227016
239,BIHAR,Jehanabad,1125313,585582,539731,618881,374412,244469,365378,266423,98955,211761,165906,117558,112966,68748,45519,714244,254582,155106
240,BIHAR,Arwal,700843,363497,337346,386351,235279,151072,236354,167991,68363,123288,118311,80704,81975,48822,27945,444448,156031,98550
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
241,SIKKIM,North  District,43709,24730,18979,30450,18579,11871,23359,15935,7424,6030,8276,6181,3223,1993,1406,27099,11674,4887
242,SIKKIM,West District,136435,70238,66197,93432,51988,41444,70348,40772,29576,30518,30827,19973,10005,6439,4831,84209,32520,19400
243,SIKKIM,South District,146850,76670,70180,106741,59357,47384,74753,45300,29453,24507,32427,22340,12415,7260,5766,87982,37318,20982
244,SIKKIM,East District,283583,151432,132151,214329,121345,92984,139678,92351,47327,33578,53789,45602,29215,19258,20904,165520,80354,37456
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
245,ARUNACHAL PRADESH,Tawang,49977,29151,20826,26073,17720,8353,28561,19554,9007,4904,4730,4029,2140,1989,1379,30709,13849,5399
246,ARUNACHAL PRADESH,West Kameng,83947,46155,37792,48492,29566,18926,42493,28313,14180,8836,10317,8428,5633,3987,2693,53026,22362,8493
247,ARUNACHAL PRADESH,East Kameng,78690,38775,39915,38449,21599,16850,31710,16424,15286,11713,10487,8852,6213,4510,2330,53752,17922,6960
248,ARUNACHAL PRADESH,Papum Pare,176573,89182,87391,121048,65794,55254,65772,41263,24509,15368,21956,21376,20007,17342,13840,120592,43812,11856
249,ARUNACHAL PRADESH,Upper Subansiri,83448,41758,41690,45278,24807,20471,33370,17898,15472,10219,16118,15339,10348,8017,4276,56054,20055,7230
250,ARUNACHAL PRADESH,West Siang,112274,58168,54106,64746,36777,27969,49177,29156,20021,14227,17675,15908,11441,8418,6030,70415,28305,13469
251,ARUNACHAL PRADESH,East Siang,99214,50116,49098,62576,34210,28366,40222,23591,16631,9938,13713,13968,10937,9498,6540,61993,25334,11802
252,ARUNACHAL PRADESH,Upper Siang,35320,18699,16621,18195,10723,7472,17644,9968,7676,3952,5584,4915,2935,2211,1349,21090,8910,5252
253,ARUNACHAL PRADESH,Changlang,148226,76948,71278,73174,44027,29147,62966,39329,23637,20425,22537,17354,10032,5641,3633,96630,35018,16414
254,ARUNACHAL PRADESH,Tirap,111975,57604,54371,47974,29313,18661,50169,27545,22624,13585,16989,12077,7834,4305,2134,71785,25669,14423
255,ARUNACHAL PRADESH,Lower Subansiri,83030,41843,41187,54057,29470,24587,30202,17339,12863,8492,10821,11661,9861,7674,5230,55258,20305,7412
256,ARUNACHAL PRADESH,Kurung Kumey,92076,45318,46758,36606,20258,16348,38044,18429,19615,12661,15054,12264,6997,4353,2031,64379,20713,6836
257,ARUNACHAL PRADESH,Dibang Valley,8004,4414,3590,4436,2614,1822,3555,2228,1327,696,1258,1060,809,656,356,5113,2088,786
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,28053,26027,31849,18087,13762,22326,14102,8224,5875,7957,7351,5508,3570,2795,35140,13254,5652
259,ARUNACHAL PRADESH,Lohit,145726,76221,69505,83062,48380,34682,60945,38910,22035,19306,25179,20643,13070,7612,5180,94890,35493,15195
260,ARUNACHAL PRADESH,Anjaw,21167,11507,9660,9990,6523,3467,10501,6224,4277,2879,2946,2170,1167,793,502,13913,4755,2456
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
261,NAGALAND,Mon,250260,131753,118507,119626,67432,52194,147654,79425,68229,37431,46055,30500,7628,3565,1772,168773,53600,27437
262,NAGALAND,Mokokchung,194622,101092,93530,159494,83479,76015,100067,57084,42983,20259,43483,54035,27425,13077,10299,111243,52853,30363
263,NAGALAND,Zunheboto,140757,71217,69540,102881,53504,49377,79466,41178,38288,16523,30889,35113,17282,8821,5560,91709,32267,16730
264,NAGALAND,Wokha,166343,84505,81838,128208,67385,60823,78412,42096,36316,15865,37024,41627,18746,10223,8030,106951,40510,18811
265,NAGALAND,Dimapur,378811,197394,181417,278037,150142,127895,151350,99645,51705,34539,61815,80076,44343,26712,27532,243392,98601,36618
266,NAGALAND,Phek,163418,83743,79675,105893,57926,47967,80277,41556,38721,22494,32722,30434,12785,7268,5926,108514,37842,16969
267,NAGALAND,Tuensang,196596,101933,94663,117511,63653,53858,98154,52931,45223,29602,40900,33514,15013,6008,2760,134573,43210,18762
268,NAGALAND,Longleng,50484,26502,23982,29859,16139,13720,30568,16273,14295,7986,11884,8672,3458,1695,595,33970,11210,5271
269,NAGALAND,Kiphire,74004,37830,36174,41232,22675,18557,31959,16780,15179,11197,15740,13645,5204,2052,997,52699,14955,6309
270,NAGALAND,Kohima,267988,138966,129022,197489,107038,90451,114825,68140,46685,21654,46756,57726,30518,19855,23439,173701,68485,25557
271,NAGALAND,Peren,95219,49714,45505,62204,34584,27620,61390,32249,29141,9248,24527,20732,8082,3938,2169,64393,21597,9156
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
272,MANIPUR,Senapati,479148,247323,231825,264477,148012,116465,233622,124143,109479,46757,81735,91395,62033,40438,24940,314439,111516,52008
273,MANIPUR,Tamenglong,140651,72371,68280,85006,47403,37603,70675,37237,33438,11155,28461,26794,17867,11645,7102,90273,33290,16924
274,MANIPUR,Churachandpur,274143,138820,135323,195935,104013,91922,122655,70594,52061,32860,67907,65475,38567,23284,14523,168608,67802,37096
275,MANIPUR,Bishnupur,237399,118782,118617,156333,87313,69020,109937,62807,47130,15941,36011,50004,31775,20077,20074,135220,62907,38815
276,MANIPUR,Thoubal,422168,210845,211323,269304,152617,116687,195319,109377,85942,32396,69738,87932,55803,37899,28550,251975,107196,62060
277,MANIPUR,Imphal West,517992,255054,262938,392626,205985,186641,213387,128540,84847,32811,66042,104229,77472,60821,81876,278940,148146,89394
278,MANIPUR,Imphal East,456113,226094,230019,324664,173314,151350,194848,117562,77286,38436,69144,99202,60422,47390,50647,261530,123439,70005
279,MANIPUR,Ukhrul,183998,94718,89280,129829,70148,59681,87929,46533,41396,20670,29382,38350,31734,22729,15636,113715,43646,25165
280,MANIPUR,Chandel,144182,74579,69603,90302,51053,39249,76238,42615,33623,17382,28163,30589,18971,12213,8105,86255,39324,18329
281,MIZORAM,Mamit,86364,44828,41536,60191,32977,27214,39339,24016,15323,9328,19711,19949,10756,3180,1771,55914,20082,10318
282,MIZORAM,Kolasib,83955,42918,41037,65895,34147,31748,36672,22733,13939,11367,18046,20399,9849,3473,2530,52147,20576,11167
283,MIZORAM,Aizawl,400309,199270,201039,340595,169547,171048,174636,104643,69993,29332,68214,100103,78752,37701,31310,235892,108094,56092
284,MIZORAM,Champhai,125745,63388,62357,100802,51440,49362,60342,34129,26213,14491,31359,30454,16259,4956,4087,78778,29690,17189
285,MIZORAM,Serchhip,64937,32851,32086,54476,27598,26878,32397,18261,14136,8771,14985,16237,9062,2915,2128,39568,15894,9404
286,MIZORAM,Lunglei,161428,82891,78537,121122,64515,56607,78292,46230,32062,22181,33313,34774,19918,8503,5509,100250,39690,21424
287,MIZORAM,Lawngtlai,117894,60599,57295,62861,36444,26417,45566,28517,17049,19890,21114,16629,10538,3763,2515,80723,25303,11831
288,MIZORAM,Saiha,56574,28594,27980,42233,21861,20372,19461,12211,7250,8422,14151,12130,7269,3628,2204,37127,12784,6636
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
289,TRIPURA,West Tripura,1725739,879428,846311,1361354,722998,638356,698178,500406,197772,248343,421485,451563,156277,88122,85405,940424,499719,284637
290,TRIPURA,South Tripura,876001,447544,428457,646810,351082,295728,366845,253229,113616,129846,223185,204201,70173,31690,26870,505558,236676,133424
291,TRIPURA,Dhalai,378230,194544,183686,276217,151643,124574,155831,105657,50174,64515,84516,74015,21430,9157,6425,232286,95548,50269
292,TRIPURA,North Tripura,693947,352860,341087,520402,275646,244756,248667,186034,62633,129329,179547,158211,47160,22720,18419,414878,178608,100274
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
293,MEGHALAYA,West Garo Hills,643291,324159,319132,358702,193438,165264,255693,151914,103779,85733,129178,90963,70941,29404,10856,427629,143604,70599
294,MEGHALAYA,East Garo Hills,317917,161223,156694,192147,102513,89634,126073,72262,53811,51578,70679,52762,31328,9473,2484,216742,70424,29926
295,MEGHALAYA,South Garo Hills,142334,73170,69164,82062,45003,37059,53069,32826,20243,25906,28921,21506,13858,3998,826,97082,30605,14495
296,MEGHALAYA,West Khasi Hills,383461,193715,189746,230678,117307,113371,163345,89694,73651,80318,78208,45046,28417,12295,6450,278569,69988,33431
297,MEGHALAYA,Ribhoi,258840,132531,126309,155859,80977,74882,106473,63871,42602,57680,58581,31103,20134,7632,3911,183343,52945,22365
298,MEGHALAYA,East Khasi Hills,825922,410749,415173,578030,287270,290760,326786,204303,122483,118135,163729,127722,94579,58836,61639,545961,192428,86576
299,MEGHALAYA,Jaintia Hills,395124,196285,198839,187527,87371,100156,154180,88839,65341,67749,61526,34677,26748,13544,8039,291097,72934,30362
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
300,ASSAM,Kokrajhar,887142,452905,434237,489305,275220,214085,341131,236322,104809,116899,166013,154715,78788,39571,17287,552671,224715,108956
301,ASSAM,Dhubri,1949258,997848,951410,922341,511551,410790,669819,524898,144921,253638,299724,250242,100387,65082,34401,1286592,439375,221745
302,ASSAM,Goalpara,1008183,513292,494891,563577,304302,259275,362573,267118,95455,124700,213510,183904,73683,39885,18294,650509,239831,117427
303,ASSAM,Barpeta,1693622,867004,826618,897058,499038,398020,561824,445297,116527,210607,307884,300845,121924,87377,46947,1072312,405046,215355
304,ASSAM,Morigaon,957423,486651,470772,539902,289698,250204,351148,257984,93164,130091,195656,179810,67969,40803,18462,612737,225224,118271
305,ASSAM,Nagaon,2823768,1439112,1384656,1710716,921850,788866,979998,766728,213270,392616,638088,576214,199792,115864,66994,1778277,678034,366112
306,ASSAM,Sonitpur,1924110,983904,940206,1108572,620525,488047,770606,537195,233411,216097,416218,377653,141373,90385,49901,1159991,501239,261648
307,ASSAM,Lakhimpur,1042137,529674,512463,683486,375552,307934,429995,282250,147745,126950,212080,217497,107326,82885,44212,639385,268872,133615
308,ASSAM,Dhemaji,686133,351249,334884,423028,237761,185267,316800,186577,130223,79107,138838,136371,80804,55399,28006,434221,169630,82051
309,ASSAM,Tinsukia,1327929,680231,647698,798322,453449,344873,557196,366623,190573,150893,266717,276292,109805,61040,38152,799874,352158,175377
310,ASSAM,Dibrugarh,1326335,676434,649901,884531,491361,393170,560557,368013,192544,143189,243607,301287,139813,89500,59380,767147,371864,186774
311,ASSAM,Sivasagar,1151050,589216,561834,813505,444767,368738,485717,325071,160646,115378,208891,280517,158118,96939,53437,648056,330947,171710
312,ASSAM,Jorhat,1092256,556805,535451,794929,432335,362594,498618,320746,177872,99454,201680,295444,128050,97025,62608,604908,315550,171062
313,ASSAM,Golaghat,1066888,543161,523727,721764,396475,325289,479928,309104,170824,117393,223902,261192,111145,66197,36887,629153,289085,148244
314,ASSAM,Karbi Anglong,956313,490167,466146,557214,314253,242961,383441,246193,137248,109324,212224,199289,93137,40602,18225,618633,233739,103123
315,ASSAM,Dima Hasao,214102,110802,103300,140873,78559,62314,85028,56323,28705,20780,43811,53736,27839,10859,5565,135463,53699,24830
316,ASSAM,Cachar,1736617,886284,850333,1174128,639946,534182,608062,469752,138310,256855,447993,379469,156156,79766,45341,1048990,444899,241776
317,ASSAM,Karimganj,1228686,625864,602822,795297,435942,359355,399171,319798,79373,198059,333885,257931,76685,39637,21408,779850,284368,163990
318,ASSAM,Hailakandi,659296,337890,321406,407366,226836,180530,214240,170792,43448,88596,177984,139029,50056,28504,11608,419921,156243,82841
319,ASSAM,Bongaigaon,738804,375818,362986,434078,237114,196964,255806,197542,58264,93591,138294,133643,55924,35491,20221,458796,184849,94939
320,ASSAM,Chirang,482162,244860,237302,259902,145869,114033,193894,128762,65132,64999,92943,84682,37792,17702,6594,301518,122244,58282
321,ASSAM,Kamrup,1517542,778461,739081,995319,550219,445100,628954,428492,200462,163849,290097,353861,154831,118849,55011,895775,408232,212740
322,ASSAM,Kamrup Metropolitan,1253938,647585,606353,1001191,537227,463964,490932,375613,115319,79177,160490,255522,148429,143478,167972,659453,401500,190908
323,ASSAM,Nalbari,771639,396006,375633,531771,293184,238587,267623,210202,57421,75866,141690,192771,81507,71734,39368,442061,211320,117809
324,ASSAM,Baksa,950075,481330,468745,572837,322614,250223,406756,266611,140145,95444,195643,225635,96782,53446,15422,563089,256282,130083
325,ASSAM,Darrang,928500,475273,453227,487039,268666,218373,324843,246864,77979,119027,163277,161153,59039,47398,22267,583436,226525,118102
326,ASSAM,Udalguri,831668,421617,410051,469926,264326,205600,345030,230690,114340,101146,155720,162369,63394,34334,14001,499214,221518,109962
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
327,WEST BENGAL,Darjiling,1846823,937259,909564,1315585,717673,597912,683726,479586,204140,183479,344865,402415,176129,113905,110193,1031221,523288,289979
328,WEST BENGAL,Jalpaiguri,3872846,1983064,1889782,2498780,1396622,1102158,1512910,1091361,421549,455854,765613,814395,292056,150360,129393,2259507,1035449,575667
329,WEST BENGAL,Koch Bihar,2819086,1451542,1367544,1850504,1028733,821771,1127977,845308,282669,393492,595555,590626,209153,93119,81100,1623320,744646,448761
330,WEST BENGAL,Uttar Dinajpur,3007134,1551066,1456068,1489667,853495,636172,1075626,799627,275999,402590,488047,422777,163106,73395,59457,1916033,704859,385155
331,WEST BENGAL,Dakshin Dinajpur,1676276,857199,819077,1083685,596474,487211,702987,499560,203427,247675,323965,327064,135556,63286,52345,937283,465982,271423
332,WEST BENGAL,Maldah,3988845,2051541,1937304,2086432,1152019,934413,1537847,1086461,451386,478902,629137,595551,238078,109719,92207,2511004,955283,520122
333,WEST BENGAL,Murshidabad,7103807,3627564,3476243,4055834,2177187,1878647,2589907,1985667,604240,837828,1428661,1210859,443254,230242,170051,4390564,1717594,991413
334,WEST BENGAL,Birbhum,3502404,1790920,1711484,2158447,1201481,956966,1331603,1029770,301833,417769,661190,622372,245201,122865,115743,2008655,952059,539463
335,WEST BENGAL,Barddhaman,7717563,3966889,3750674,5247208,2918040,2329168,2911251,2293083,618168,800473,1437198,1605634,698251,405935,439823,4149420,2265543,1292913
336,WEST BENGAL,Nadia,5167600,2653768,2513832,3480555,1878866,1601689,1842607,1554090,288517,605490,1093403,1052487,412193,236828,209562,2745828,1484986,934417
337,WEST BENGAL,North Twenty Four Parganas,10009781,5119389,4890392,7608693,4056046,3552647,3571624,2945189,626435,1090829,1874051,2094743,989053,670977,852923,5104876,2968996,1921143
338,WEST BENGAL,Hugli,5519145,2814653,2704492,4078388,2211777,1866611,2152870,1713608,439262,676265,1172797,1174912,515807,333658,380060,2766489,1688206,1060821
339,WEST BENGAL,Bankura,3596674,1838095,1758579,2232992,1299337,933655,1466220,1050822,415398,450029,545200,686924,261478,143882,133465,1942335,1014764,637834
340,WEST BENGAL,Puruliya,2930115,1496996,1433119,1624905,1002058,622847,1249642,801254,448388,299355,480046,528068,177459,91807,77621,1678057,764776,484166
341,WEST BENGAL,Haora,4850029,2500819,2349210,3605206,1942824,1662382,1819845,1498170,321675,516323,1059842,1084155,446743,284481,304594,2587164,1423304,833104
342,WEST BENGAL,Kolkata,4496694,2356766,2139928,3588137,1926915,1661222,1795740,1412466,383274,255171,597841,820902,555529,425245,691804,2025389,1433314,1014769
343,WEST BENGAL,South Twenty Four Parganas,8161961,4173778,3988183,5531657,3043277,2488380,2964494,2356571,607923,1119126,1775793,1657528,564417,316571,322157,4763943,2151474,1235558
344,WEST BENGAL,Paschim Medinipur,5913457,3007885,2905572,4078412,2266913,1811499,2509159,1757358,751801,831300,1139784,1289873,477973,262072,211437,3243971,1664250,990179
345,WEST BENGAL,Purba Medinipur,5095875,2629834,2466041,3923194,2149073,1774121,1910320,1516096,394224,776367,1219166,1289927,444668,236549,184225,2866678,1384242,842025
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
346,JHARKHAND,Garhwa,1322784,683575,639209,653476,405161,248315,571431,335451,235980,207665,195565,147446,87844,46882,28144,860869,284036,177599
347,JHARKHAND,Chatra,1042886,533935,508951,510061,303902,206159,397690,251213,146477,200861,161729,102033,63670,35342,21697,692650,222892,126682
348,JHARKHAND,Kodarma,716259,367222,349037,390249,238780,151469,257418,173993,83425,129677,130315,80561,52622,26415,20907,462098,158603,95309
349,JHARKHAND,Giridih,2445474,1258098,1187376,1253475,783736,469739,1036277,623946,412331,503261,443980,261309,146464,77540,55122,1597269,533788,312967
350,JHARKHAND,Deoghar,1492073,775022,717051,793538,489837,303701,551467,383691,167776,217460,266292,190171,96331,54419,43979,944961,338413,205514
351,JHARKHAND,Godda,1313551,677927,635624,604519,376212,228307,552191,344019,208172,217607,190777,126766,79430,47395,30870,820367,308639,183519
352,JHARKHAND,Sahibganj,1150567,589391,561176,483263,287303,195960,490202,295690,194512,146399,171416,110822,52248,28087,19832,745027,261849,137727
353,JHARKHAND,Pakur,900422,452661,447761,352881,206989,145892,404584,234012,170572,100367,133770,79045,29934,15700,9822,587976,206826,104418
354,JHARKHAND,Dhanbad,2684487,1405956,1278531,1722204,1014950,707254,844504,658851,185653,317918,501453,449506,305054,186697,107382,1634835,648876,356445
355,JHARKHAND,Bokaro,2062330,1072807,989523,1273520,759088,514432,685368,507677,177691,242467,338861,342646,232434,154076,116396,1261238,510375,282115
356,JHARKHAND,Lohardaga,461790,232629,229161,259707,149568,110139,221332,121605,99727,82873,84920,63545,38503,21987,13847,298844,100340,62244
357,JHARKHAND,Purbi Singhbhum,2293919,1176902,1117017,1507699,856526,651173,837167,616249,220918,202047,346644,369670,278853,162210,157688,1292595,632314,368148
358,JHARKHAND,Palamu,1939869,1006302,933567,1024563,621706,402857,713175,473042,240133,303053,296937,231565,160964,100290,63595,1244572,425668,268387
